nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,imagen_url,fecha_scraping,protein_per_serving_g,serving_size_g,servings_per_container,sweetener_free,flavors_available,store_rating,store_rating_count,store_rating_url,protein_subtype
L-Ornitina HCL en polvo 250g,,Pre-Entreno,22.99,0.25,91.96,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/l-ornitina-hcl-en-polvo/10529383/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/1600/1600/10529383-1224689570490761.jpg&format=webp&width=1500&height=1500&fit=cover,2026-09-23,,,,,,,,,
Malato de L-Citrulina 150 g,,Pre-Entreno,13.99,0.15,93.27,Prozis,https://www.prozis.com/es/es/prozis/malato-de-l-citrulina-150-g,//static.sscontent.com/thumb/750/750/t/products/124/v1458306_prozis_l-citrulline-malate-150g_1.png,2026-09-23,,,,,"['Neutro', 'Manzana verde', 'Sandía']",4.69,3617.0,https://www.prozis.com/es/es/prozis/malato-de-l-citrulina-150-g,
Amix Yeep Pump Pre-entreno con Cafeína 345gr 345g,Amix Nutrition,Pre-Entreno,32.5,0.345,94.2,Nutritienda,https://www.nutritienda.com/es/amix-nutrition/yeep-pump-345g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/865d8806-5ba3-4db5-56ea-ed1b6e9af500/public,2026-09-23,,,,,,,,,
CITRULINA MALATO 300g,Biotech Usa,Pre-Entreno,28.9,0.3,96.33,Nutritienda,https://www.nutritienda.com/es/biotech-usa/citrulina-malato-300g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/6cc1c7d5-aef9-4238-167c-230e98ae1b00/public,2026-09-23,,,,,,4.6,79.0,https://www.nutritienda.com/es/biotech-usa/citrulina-malato-300g,
Venmo Pre-Workout Non Stimulant 300g,Life Pro Nutrition,Pre-Entreno,29.9,0.3,99.67,Nutritienda,https://www.nutritienda.com/es/life-pro-nutrition/venmo-pre-workout-non-stimulant-300g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/1e97f430-77b9-4853-d372-3d8b9d34fb00/public,2026-09-23,,,,,,,,,
Animal Fury Pre-Entreno Universal Nutrition | Suplementos 320g,Universal Nutrition,Pre-Entreno,31.95,0.32,99.84,Nutritienda,https://www.nutritienda.com/es/universal-nutrition/animal-fury,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/4ada7a19-8a09-4576-a3a7-573f4ffa7600/public,2026-09-23,,,,,,4.8,56.0,https://www.nutritienda.com/es/universal-nutrition/animal-fury,
Energy Storm 300g,Beverly Nutrition,Pre-Entreno,30.56,0.3,101.87,Nutritienda,https://www.nutritienda.com/es/beverly-nutrition/energy-storm-300g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/7748940c-b206-4c5a-17df-141cc2fc8800/public,2026-09-23,,,,,,,,,
226ERS PRE WORKOUT 300g - Suplemento Pre-Entreno Vegano,226ers,Pre-Entreno,31.5,0.3,105.0,Nutritienda,https://www.nutritienda.com/es/226ers/pre-workout-300g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/36e2f012-6ea5-4180-3eea-85f4ccc4db00/public,2026-09-23,,,,,,,,,
226ERS Pre Workout 300g - Suplemento Pre-Entreno Vegano,226ers,Pre-Entreno,31.5,0.3,105.0,Nutritienda,https://www.nutritienda.com/es/226ers/pre-workout-caffeine-300g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/dbf9a2fb-19ce-4528-cff6-965812e07100/public,2026-09-23,,,,,,,,,
SUPERNOVA 282g,Biotech Usa,Pre-Entreno,29.9,0.282,106.03,Nutritienda,https://www.nutritienda.com/es/biotech-usa/supernova-pre-entrenamiento-282g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/6a5966bd-b144-47d1-a76f-21583bef0c00/public,2026-09-23,,,,,,4.3,12.0,https://www.nutritienda.com/es/biotech-usa/supernova-pre-entrenamiento-282g,
Pre-entreno MyoCell 5 Phase 500g - Musclecore,Amix Nutrition,Pre-Entreno,53.5,0.5,107.0,Nutritienda,https://www.nutritienda.com/es/amix-nutrition-myocell-5-phase-500g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/7ab6f21d-79f3-4e83-6aa8-84b8bfcb7400/public,2026-09-23,,,,,,4.1,50.0,https://www.nutritienda.com/es/amix-nutrition-myocell-5-phase-500g,
Wild Pump 400g,Life Pro Nutrition,Pre-Entreno,42.9,0.4,107.25,Nutritienda,https://www.nutritienda.com/es/life-pro-nutrition/wild-pump-400g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/b56415f4-56ee-4a75-c5bd-47dd96c8ff00/public,2026-09-23,,,,,,,,,
The Curse 250 g,Cobra Labs,Pre-Entreno,28.49,0.25,113.96,Nutritienda,https://www.nutritienda.com/es/cobra-labs/the-curse-250g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/168b8afc-8bd3-428c-2cbc-848402044e00/public,2026-09-23,,,,,,4.9,16.0,https://www.nutritienda.com/es/cobra-labs/the-curse-250g,
Scitec Hot Blood Infinity No-Stim 350g - Pre-Entreno,Scitec,Pre-Entreno,40.5,0.35,115.71,Nutritienda,https://www.nutritienda.com/es/scitec/hot-blood-infinity-no-stim-350g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/fbfd2d41-e414-476f-7cd4-bb1ff8b80600/public,2026-09-23,,,,,,,,,
NITRO SPEED 350g para fuerza y energía ▸ BIG | Nutritienda,Big,Pre-Entreno,40.95,0.35,117.0,Nutritienda,https://www.nutritienda.com/es/big/nitro-speed-350g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/d13d091f-566f-45aa-31b1-1ef91cbfed00/public,2026-09-23,,,,,,4.2,21.0,https://www.nutritienda.com/es/big/nitro-speed-350g,
Hot Blood Infinity 350 g,Scitec,Pre-Entreno,41.5,0.35,118.57,Nutritienda,https://www.nutritienda.com/es/scitec/hot-blood-infinity-350g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/91b7e69e-4180-446d-95bf-a6ac07d80400/public,2026-09-23,,,,,,,,,
MUTANT MADNESS - Potencia tus entrenamientos 225g,Mutant,Pre-Entreno,26.8,0.225,119.11,Nutritienda,https://www.nutritienda.com/es/mutant/madness-pre-entrenamiento-300g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/08113dc3-ded1-4247-6de3-758a6d5f2000/public,2026-09-23,,,,,,4.7,32.0,https://www.nutritienda.com/es/mutant/madness-pre-entrenamiento-300g,
BioTechUSA Black Blood NOX+ 340g - Pre-Entreno Extremo,Biotech Usa,Pre-Entreno,40.9,0.34,120.29,Nutritienda,https://www.nutritienda.com/es/biotech-usa/black-blood-nox-pre-entrenamiento-330g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/0bcfc374-630d-418d-baa1-747ffef14e00/public,2026-09-23,,,,,,4.5,21.0,https://www.nutritienda.com/es/biotech-usa/black-blood-nox-pre-entrenamiento-330g,
M.A.P. GLYCEROMAX 340g,Amix Pro,Pre-Entreno,43.0,0.34,126.47,Nutritienda,https://www.nutritienda.com/es/amix-pro/map-glyceromax-340g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/634671f4-3d28-4465-66f0-73033fa89c00/public,2026-09-23,,,,,,4.2,13.0,https://www.nutritienda.com/es/amix-pro/map-glyceromax-340g,
Amix CellUp con Oxystorm 348g - Pre-entreno Premium,Amix Nutrition,Pre-Entreno,46.5,0.348,133.62,Nutritienda,https://www.nutritienda.com/es/amix-nutrition/cellup-with-oxystorm-348g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/6b6bf76f-15c2-4a95-f122-8c698bb78700/public,2026-09-23,,,,,,,,,
Superhero 285g,Scitec,Pre-Entreno,40.5,0.285,142.11,Nutritienda,https://www.nutritienda.com/es/scitec/superhero-285g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/d0a41c06-69c7-46c9-f82e-e311183dfb00/public,2026-09-23,,,,,,4.7,3.0,https://www.nutritienda.com/es/scitec/superhero-285g,
C4 RIPPED 30 pre-entreno ▸ Cellucor | Nutritienda 165g,Cellucor,Pre-Entreno,24.9,0.165,150.91,Nutritienda,https://www.nutritienda.com/es/cellucor/c4-ripped-30-servicios,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/519d3e85-305e-4ba1-4884-4fe526be6f00/public,2026-09-23,,,,,,4.7,159.0,https://www.nutritienda.com/es/cellucor/c4-ripped-30-servicios,
L-Teanina en polvo 100g,,Pre-Entreno,15.99,0.1,159.9,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/l-teanina-en-polvo/10530035/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/10530035-2005199723256404.jpg&format=webp&width=1500&height=1500&fit=cover,2026-09-23,,,,,,,,,
Pre-entreno CellZoom Amix - Fórmula Concentrada Sin Azúcares 315g,Amix Nutrition,Pre-Entreno,53.5,0.315,169.84,Nutritienda,https://www.nutritienda.com/es/amix-nutrition/cellzoom,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/3a7e5247-b317-467f-5eb7-b45de10fb600/public,2026-09-23,,,,,,4.3,63.0,https://www.nutritienda.com/es/amix-nutrition/cellzoom,
