nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,imagen_url,fecha_scraping
Mezcla de Vitaminas,,Creatina,23.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/mezcla-de-vitaminas/11060427/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/1600/1600/11060427-1434737321495276.jpg&format=webp&width=1500&height=1500&fit=cover,2026-04-15
THE Electropower | Creatina + Electrolitos,,Creatina,24.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-electropower-creatina-electrolitos/16663175/,,2026-04-15
THE Electrofuel,,Creatina,17.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-electrofuel/16570434/,,2026-04-15
Pack Clear Performance,,Creatina,41.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-clear-performance/15288056/,,2026-04-15
Pack de Rendimiento,,Creatina,104.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-de-rendimiento/15722526/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/15722526-2115191423528350.jpg&format=webp&width=1500&height=1500&fit=cover,2026-04-15
BICARBONATO DE SODIO EN POLVO 150g,,Pre-Entreno,0.87,0.15,5.8,HSN,https://www.hsnstore.com/marcas/raw-series/bicarbonato-de-sodio-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/s/o/sodium-bicarbonate-front-gral-hsn_1.webp,2026-04-15
ISOMALTULOSA (Palatinose™) EN POLVO 1kg,,Pre-Entreno,8.06,1.0,8.06,HSN,https://www.hsnstore.com/marcas/raw-series/isomaltulosa-palatinose-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/p/a/palatinose-powder-hsn1_1.jpg,2026-04-15
Pre Entreno Concept 500g,MEGA PLUS,Pre-Entreno,12.2,0.5,24.4,Nutritienda,https://www.nutritienda.com/es/mega-plus/pre-entreno-concept-500g,,2026-04-15
Pre-workout Protein Mug Cake - Speculoos 400 g,,Pre-Entreno,9.99,0.4,24.97,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-speculoos-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1526654_prozis_pre-workout-protein-mug-cake-premix-speculoos-400-g_1.png,2026-04-15
Pre-workout Protein Mug Cake - Café y Caramelo 400 g,,Pre-Entreno,9.99,0.4,24.97,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-cafe-y-caramelo-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1526591_prozis_pre-workout-protein-mug-cake-premix-coffee--caramel-400-g_1.png,2026-04-15
Pre-workout Protein Mug Cake - Chocolate 400 g,,Pre-Entreno,9.99,0.4,24.97,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-chocolate-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1526579_prozis_pre-workout-protein-mug-cake-premix-chocolate-400-g_1.png,2026-04-15
Pre-workout Protein Mug Cake Premix - Vainilla y Pepitas de Chocolate 400 g,,Pre-Entreno,9.99,0.4,24.97,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-premix-vainilla-y-pepitas-de-chocolate-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1526642_prozis_pre-workout-protein-mug-cake-premix-vanilla--choco-chips-400-g_1.png,2026-04-15
Energy Charge - Preentrenamiento 800 g,,Pre-Entreno,22.99,0.8,28.74,Prozis,https://www.prozis.com/es/es/prozis/energy-charge-preentrenamiento-800-g,//static.sscontent.com/thumb/750/750/t/products/124/v1559895_prozis_energy-charge-pre-workout-800-g_1.png,2026-04-15
N.O. Shox 1320g,,Pre-Entreno,39.99,1.32,30.3,Prozis,https://www.prozis.com/es/es/prozis/n.o.-shox-1320g,//static.sscontent.com/thumb/750/750/t/products/124/v1350727_prozis_no-shox-1320g_1.png,2026-04-15
BETA-ALANINA EN POLVO 150g,,Pre-Entreno,4.58,0.15,30.53,HSN,https://www.hsnstore.com/marcas/raw-series/beta-alanina-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/b/e/beta-alanine-powder-hsn_1.jpg,2026-04-15
CICLO AMINO DEXTRIN 1500g,BIG,Pre-Entreno,47.91,1.5,31.94,Nutritienda,https://www.nutritienda.com/es/big/ciclo-amino-dextrin-1500g,,2026-04-15
Beta-alanina 900 g,,Pre-Entreno,29.99,0.9,33.32,Prozis,https://www.prozis.com/es/es/prozis/beta-alanina-900-g,//static.sscontent.com/thumb/750/750/t/products/124/v1712112_prozis_beta-alanine-900-g_1.png,2026-04-15
N.O. Shox 660 g,,Pre-Entreno,24.99,0.66,37.86,Prozis,https://www.prozis.com/es/es/prozis/n.o.-shox-660-g,//static.sscontent.com/thumb/750/750/t/products/124/v1350704_prozis_no-shox-660-g_orange_flavor_21.png,2026-04-15
"SMOOTH-8 Hybrid Protein 2,3Kg",AMIX NUTRITION,Pre-Entreno,87.5,2.3,38.04,Nutritienda,https://www.nutritienda.com/es/amix-nutrition-smooth-8-hybrid-protein-2300g,,2026-04-15
C2M Creatine 500g,Soul Project,Pre-Entreno,20.5,0.5,41.0,Nutritienda,https://www.nutritienda.com/es/soul-project/c2m-creatine-500g,,2026-04-15
Beta-alanina 300 g,,Pre-Entreno,12.99,0.3,43.3,Prozis,https://www.prozis.com/es/es/prozis/beta-alanina-300-g,//static.sscontent.com/thumb/750/750/t/products/124/v1712098_prozis_beta-alanine-300-g_1.png,2026-04-15
Glycopump® (GLICEROL) EN POLVO 150g,,Pre-Entreno,6.9,0.15,46.0,HSN,https://www.hsnstore.com/marcas/raw-series/glycopump-glicerol-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/g/l/glycopump-glycerol-powder-hsn_1.jpg,2026-04-15
L-CITRULINA BASE EN POLVO 150g,,Pre-Entreno,7.48,0.15,49.87,HSN,https://www.hsnstore.com/marcas/raw-series/l-citrulina-base-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/l/-/l-citrulline-base-powder-front-gral-hsn_1_1.webp,2026-04-15
PRE-WORKOUT WOW! 400g,¡Eficacia y rendimiento!,Pre-Entreno,21.9,0.4,54.75,Nutritienda,https://www.nutritienda.com/es/amazin-foods/pre-workout-wow-pre-entrenamiento-400g,,2026-04-15
L-arginina 300 g,,Pre-Entreno,16.99,0.3,56.63,Prozis,https://www.prozis.com/es/es/prozis/l-arginina-300-g,//static.sscontent.com/thumb/750/750/t/products/124/v1727994_prozis_l-arginine-300-g_1.png,2026-04-15
EVOBOMB 150g,,Pre-Entreno,8.65,0.15,57.67,HSN,https://www.hsnstore.com/marcas/sport-series/evobomb,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evobomb-blackcurrant-gral-nb-front-hsn_1.webp,2026-04-15
L-ARGININA ALFA-CETOGLUTARATO (AAKG) EN POLVO 150g,,Pre-Entreno,8.65,0.15,57.67,HSN,https://www.hsnstore.com/marcas/raw-series/arginina-alfa-cetoglutarato-aakg-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/a/a/aakg-arginine-powder-hsn_1.jpg,2026-04-15
D-RIBOSA EN POLVO 150g,,Pre-Entreno,8.65,0.15,57.67,HSN,https://www.hsnstore.com/marcas/raw-series/d-ribosa-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/d/-/d-ribose-powder-hsn_1.jpg,2026-04-15
ÁCIDO MÁLICO EN POLVO 150g,,Pre-Entreno,8.65,0.15,57.67,HSN,https://www.hsnstore.com/marcas/raw-series/acido-malico-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/m/a/malic-acid-powder-hsn1_1.jpg,2026-04-15
N1 PRE-WORKOUT 510g,NUTREND,Pre-Entreno,32.6,0.51,63.92,Nutritienda,https://www.nutritienda.com/es/nutred/n1-pre-workout-510g,,2026-04-15
Mode On Pre-Workout 450g,Wheyland,Pre-Entreno,29.9,0.45,66.44,Nutritienda,https://www.nutritienda.com/es/wheyland/mode-on-pre-workout-450g,,2026-04-15
L-citrulina malato 300g,,Pre-Entreno,19.99,0.3,66.63,Prozis,https://www.prozis.com/es/es/prozis/l-citrulina-malato-300g,//static.sscontent.com/thumb/750/750/t/products/124/v1304266_prozis_l-citrulline-malate-300g_1.png,2026-04-15
BETA-ALANINA (CarnoSyn®) EN POLVO 150g,,Pre-Entreno,11.54,0.15,76.93,HSN,https://www.hsnstore.com/marcas/raw-series/beta-alanina-carnosyn-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/1/0/100-pure-beta-alanine-carnosyn-powder-gral-front-v2-hsn_1.webp,2026-04-15
Impact Pre-Entreno – Venom 440g,,Pre-Entreno,34.99,0.44,79.52,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/impact-pre-entreno-venom/17585477/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/17463022-1305288565142815.jpg&format=webp&width=1500&height=1500&fit=cover,2026-04-15
Prework Core Series 300g,Procell,Pre-Entreno,24.09,0.3,80.3,Nutritienda,https://www.nutritienda.com/es/procell/prework-core-series-300g,,2026-04-15
BCAA POWDER 8:1:1 300g,Aminoácidos,Pre-Entreno,24.95,0.3,83.17,Nutritienda,https://www.nutritienda.com/es/yamamoto-nutrition/bcaa-powder-811-300g,,2026-04-15
GOLD STANDARD PRE-WORKOUT 330g,Optimum Nutrition,Pre-Entreno,29.99,0.33,90.88,Nutritienda,https://www.nutritienda.com/es/optimun-nutrition-gold-standard-pre-workout-330g,,2026-04-15
Amino Energy Zero 360g,Biotech USA,Pre-Entreno,32.9,0.36,91.39,Nutritienda,https://www.nutritienda.com/es/biotech-usa/amino-energy-zero-360g,,2026-04-15
L-citrulina malato 150 g,,Pre-Entreno,13.99,0.15,93.27,Prozis,https://www.prozis.com/es/es/prozis/l-citrulina-malato-150-g,//static.sscontent.com/thumb/750/750/t/products/124/v1458306_prozis_l-citrulline-malate-150g_1.png,2026-04-15
ANIMAL FURY 320g,Máximo rendimiento,Pre-Entreno,31.95,0.32,99.84,Nutritienda,https://www.nutritienda.com/es/universal-nutrition/animal-fury-pre-entrenamiento-320g,,2026-04-15
The Shadow 270 g,Cobra Labs,Pre-Entreno,29.89,0.27,110.7,Nutritienda,https://www.nutritienda.com/es/cobra-labs/the-shadow-270g,,2026-04-15
EVORDX 2.0 150g,,Pre-Entreno,17.34,0.15,115.6,HSN,https://www.hsnstore.com/marcas/sport-series/evordx-2-0,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evordx-gral-front-hsn_1.webp,2026-04-15
Pre-Workout Pro St 300g,Crown Sport Nutrition,Pre-Entreno,34.95,0.3,116.5,Nutritienda,https://www.nutritienda.com/es/crown-sport-nutrition/pre-workout-pro-st-300g,,2026-04-15
NITRO SPEED 350g,,Pre-Entreno,40.95,0.35,117.0,Nutritienda,https://www.nutritienda.com/es/big/nitro-speed-350g,,2026-04-15
L-Ornitina HCL en polvo 250g,,Pre-Entreno,29.99,0.25,119.96,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/l-ornitina-hcl-en-polvo/10529383/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/1600/1600/10529383-1224689570490761.jpg&format=webp&width=1500&height=1500&fit=cover,2026-04-15
Origin Stim-Free Pre-Workout (muestra) 20g,,Pre-Entreno,2.55,0.02,127.5,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/origin-stim-free-pre-workout-muestra/14269813/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/14269814-1535234423931405.jpg&format=webp&width=1500&height=1500&fit=cover,2026-04-15
Pack Regalo Cellup Oxystorm 348g + Tribu ZMA 30 Caps,Amix Nutrition,Pre-Entreno,46.5,0.348,133.62,Nutritienda,https://www.nutritienda.com/es/amix-nutrition/pack-regalo-cellup-oxystorm-348g-tribu-zma-30-caps,,2026-04-15
L-Teanina en polvo 100g,,Pre-Entreno,14.79,0.1,147.9,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/l-teanina-en-polvo/10530035/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/10530035-2005199723256404.jpg&format=webp&width=1500&height=1500&fit=cover,2026-04-15
CellZoom 315g,AMIX NUTRITION,Pre-Entreno,53.5,0.315,169.84,Nutritienda,https://www.nutritienda.com/es/amix-nutrition-cellzoom-315g,,2026-04-15
EVOPUMP EN POLVO 150g,,Pre-Entreno,26.62,0.15,177.47,HSN,https://www.hsnstore.com/marcas/sport-series/evopump-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evopump-powder-sportseries_1.webp,2026-04-15
EVOBEAST 50g,,Pre-Entreno,16.76,0.05,335.2,HSN,https://www.hsnstore.com/marcas/sport-series/evobeast,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evobeast-gral-hsn_1.webp,2026-04-15
3 x Sachet POWA 3.0 Pre-Workout 17.8g Cola,,Pre-Entreno,5.07,0.008,633.75,Prozis,https://www.prozis.com/es/es/prozis/3-x-sachet-powa-3.0-pre-workout-17.8g-cola,//static.sscontent.com/thumb/750/750/t/products/124/v1678217_prozis_3-x-sachet-powa-30-pre-workout-178g-cola_1.png,2026-04-15
EVOSTAMINA 20g,,Pre-Entreno,17.34,0.02,867.0,HSN,https://www.hsnstore.com/marcas/sport-series/evostamina,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evostamina-hsn_1.jpg,2026-04-15
3 x Sachet POWA 3.0 Pre-Workout 17.5g Apple,,Pre-Entreno,5.07,0.005,1014.0,Prozis,https://www.prozis.com/es/es/prozis/3-x-sachet-powa-3.0-pre-workout-17.5g-apple,//static.sscontent.com/thumb/750/750/t/products/124/v1678187_prozis_3-x-sachet-powa-30-pre-workout-175g-apple_1.png,2026-04-15
GUAREX ENERY & MENTAL SHOT  20 Viales de 60ml,,Pre-Entreno,43.0,,,Nutritienda,https://www.nutritienda.com/es/amix-nutrition/guarex-energy-mental-shot-20-viales-de-60ml,,2026-04-15
HELLFIRE FATBURNER 150 Caps,Termogénico,Pre-Entreno,34.11,,,Nutritienda,https://www.nutritienda.com/es/ironmaxx/hellfire-fatburner-150-caps,,2026-04-15
MONSTER ABSOLUTELY ZERO 500ml,Monster Energy,Pre-Entreno,1.75,,,Nutritienda,https://www.nutritienda.com/es/monster-energy/monster-absolutely-zero-500ml,,2026-04-15
Caffeine Caps 60 Caps,Nutrend,Pre-Entreno,6.1,,,Nutritienda,https://www.nutritienda.com/es/nutrend/caffeine-caps-60-capsulas,,2026-04-15
Monster Ultra Paradise 500 ml,Monster Energy,Pre-Entreno,1.75,,,Nutritienda,https://www.nutritienda.com/es/monster-energy/monster-ultra-paradise-500-ml,,2026-04-15
MONSTER ENERGY 500ml,Monster Energy | Nutritienda,Pre-Entreno,1.75,,,Nutritienda,https://www.nutritienda.com/es/monster-energy/energy-500ml,,2026-04-15
MONSTER ULTRA WHITE 500ml,Monster Energy | Nutritienda,Pre-Entreno,1.75,,,Nutritienda,https://www.nutritienda.com/es/monster-energy/monster-ultra-white-500ml,,2026-04-15
NITRIX 2.0 180 Tabs,BSN,Pre-Entreno,36.9,,,Nutritienda,https://www.nutritienda.com/es/bsn/nitrix-2-0-180-tabs,,2026-04-15
HELL‘S NO2 100 Caps,AMIX NUTRITION,Pre-Entreno,37.0,,,Nutritienda,https://www.nutritienda.com/es/amix-nutrition-hells-no2-100caps,,2026-04-15
Myo3 Xplode 120 Caps,Beverly Nutrition,Pre-Entreno,36.9,,,Nutritienda,https://www.nutritienda.com/es/beverly-nutrition/myo3-xplode-120-caps,,2026-04-15
X-FAT 2 EN 1 SHOT 20 Viales de 60ml,Amix Nutrition,Pre-Entreno,44.0,,,Nutritienda,https://www.nutritienda.com/es/amix-nutrition/x-fat-2-en-1-shot-20-viales-de-60ml,,2026-04-15
EXTRACTO DE AMARANTO Oxystorm® (50:1) 650mg,,Pre-Entreno,26.68,,,HSN,https://www.hsnstore.com/marcas/essential-series/extracto-de-amaranto-oxystorm-50-1-650mg,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/a/m/amaranthus-extract-oxystorm-650mg-gral-veg-caps-front-hsn_1_1.webp,2026-04-15
L-ALANIL-L-GLUTAMINA 300mg,,Pre-Entreno,23.2,,,HSN,https://www.hsnstore.com/marcas/essential-series/l-alanil-l-glutamina-300mg,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/l/-/l-alanyl-l-glutamine-300mg-gral-veg-caps-front-hsn_1_1.webp,2026-04-15
